,crop_height,crop_width,epochs,height,hf,hl,image,is_cropped,lr,quantization_technique,seed,using_quantization,width
306,256,256,100000,512,13,3,cameramen,True,0.0001,,42,False,512
307,256,256,100000,512,13,3,cameramen,True,0.0001,,101,False,512
308,256,256,100000,512,13,3,cameramen,True,0.0001,,123,False,512
309,256,256,100000,512,13,3,cameramen,True,0.0001,,1234,False,512
310,256,256,100000,512,13,4,cameramen,True,0.0001,,0,False,512
311,256,256,100000,512,13,4,cameramen,True,0.0001,,42,False,512
312,256,256,100000,512,13,4,cameramen,True,0.0001,,101,False,512
313,256,256,100000,512,13,4,cameramen,True,0.0001,,123,False,512
314,256,256,100000,512,13,4,cameramen,True,0.0001,,1234,False,512
315,256,256,100000,512,13,5,cameramen,True,0.0001,,0,False,512
316,256,256,100000,512,13,5,cameramen,True,0.0001,,42,False,512
317,256,256,100000,512,13,5,cameramen,True,0.0001,,101,False,512
318,256,256,100000,512,13,5,cameramen,True,0.0001,,123,False,512
319,256,256,100000,512,13,5,cameramen,True,0.0001,,1234,False,512
320,256,256,100000,512,13,6,cameramen,True,0.0001,,0,False,512
321,256,256,100000,512,13,6,cameramen,True,0.0001,,42,False,512
322,256,256,100000,512,13,6,cameramen,True,0.0001,,101,False,512
323,256,256,100000,512,13,6,cameramen,True,0.0001,,123,False,512
324,256,256,100000,512,13,6,cameramen,True,0.0001,,1234,False,512
325,256,256,100000,512,13,7,cameramen,True,0.0001,,0,False,512
326,256,256,100000,512,13,7,cameramen,True,0.0001,,42,False,512
327,256,256,100000,512,13,7,cameramen,True,0.0001,,101,False,512
328,256,256,100000,512,13,7,cameramen,True,0.0001,,123,False,512
329,256,256,100000,512,13,7,cameramen,True,0.0001,,1234,False,512
330,256,256,100000,512,13,8,cameramen,True,0.0001,,0,False,512
331,256,256,100000,512,13,8,cameramen,True,0.0001,,42,False,512
332,256,256,100000,512,13,8,cameramen,True,0.0001,,101,False,512
333,256,256,100000,512,13,8,cameramen,True,0.0001,,123,False,512
334,256,256,100000,512,13,8,cameramen,True,0.0001,,1234,False,512
335,256,256,100000,512,13,9,cameramen,True,0.0001,,0,False,512
336,256,256,100000,512,13,9,cameramen,True,0.0001,,42,False,512
337,256,256,100000,512,13,9,cameramen,True,0.0001,,101,False,512
338,256,256,100000,512,13,9,cameramen,True,0.0001,,123,False,512
339,256,256,100000,512,13,9,cameramen,True,0.0001,,1234,False,512
340,256,256,100000,512,13,10,cameramen,True,0.0001,,0,False,512
341,256,256,100000,512,13,10,cameramen,True,0.0001,,42,False,512
342,256,256,100000,512,13,10,cameramen,True,0.0001,,101,False,512
343,256,256,100000,512,13,10,cameramen,True,0.0001,,123,False,512
344,256,256,100000,512,13,10,cameramen,True,0.0001,,1234,False,512
345,256,256,100000,512,13,11,cameramen,True,0.0001,,0,False,512
346,256,256,100000,512,13,11,cameramen,True,0.0001,,42,False,512
347,256,256,100000,512,13,11,cameramen,True,0.0001,,101,False,512
348,256,256,100000,512,13,11,cameramen,True,0.0001,,123,False,512
349,256,256,100000,512,13,11,cameramen,True,0.0001,,1234,False,512
350,256,256,100000,512,13,12,cameramen,True,0.0001,,0,False,512
351,256,256,100000,512,13,12,cameramen,True,0.0001,,42,False,512
352,256,256,100000,512,13,12,cameramen,True,0.0001,,101,False,512
353,256,256,100000,512,13,12,cameramen,True,0.0001,,123,False,512
354,256,256,100000,512,13,12,cameramen,True,0.0001,,1234,False,512
355,256,256,100000,512,13,13,cameramen,True,0.0001,,0,False,512
356,256,256,100000,512,13,13,cameramen,True,0.0001,,42,False,512
357,256,256,100000,512,13,13,cameramen,True,0.0001,,101,False,512
358,256,256,100000,512,13,13,cameramen,True,0.0001,,123,False,512
359,256,256,100000,512,13,13,cameramen,True,0.0001,,1234,False,512
360,256,256,100000,512,14,2,cameramen,True,0.0001,,0,False,512
361,256,256,100000,512,14,2,cameramen,True,0.0001,,42,False,512
362,256,256,100000,512,14,2,cameramen,True,0.0001,,101,False,512
363,256,256,100000,512,14,2,cameramen,True,0.0001,,123,False,512
364,256,256,100000,512,14,2,cameramen,True,0.0001,,1234,False,512
365,256,256,100000,512,14,3,cameramen,True,0.0001,,0,False,512
366,256,256,100000,512,14,3,cameramen,True,0.0001,,42,False,512
367,256,256,100000,512,14,3,cameramen,True,0.0001,,101,False,512
368,256,256,100000,512,14,3,cameramen,True,0.0001,,123,False,512
369,256,256,100000,512,14,3,cameramen,True,0.0001,,1234,False,512
370,256,256,100000,512,14,4,cameramen,True,0.0001,,0,False,512
371,256,256,100000,512,14,4,cameramen,True,0.0001,,42,False,512
372,256,256,100000,512,14,4,cameramen,True,0.0001,,101,False,512
373,256,256,100000,512,14,4,cameramen,True,0.0001,,123,False,512
374,256,256,100000,512,14,4,cameramen,True,0.0001,,1234,False,512
375,256,256,100000,512,14,5,cameramen,True,0.0001,,0,False,512
376,256,256,100000,512,14,5,cameramen,True,0.0001,,42,False,512
377,256,256,100000,512,14,5,cameramen,True,0.0001,,101,False,512
378,256,256,100000,512,14,5,cameramen,True,0.0001,,123,False,512
379,256,256,100000,512,14,5,cameramen,True,0.0001,,1234,False,512
380,256,256,100000,512,14,6,cameramen,True,0.0001,,0,False,512
381,256,256,100000,512,14,6,cameramen,True,0.0001,,42,False,512
382,256,256,100000,512,14,6,cameramen,True,0.0001,,101,False,512
383,256,256,100000,512,14,6,cameramen,True,0.0001,,123,False,512
384,256,256,100000,512,14,6,cameramen,True,0.0001,,1234,False,512
385,256,256,100000,512,14,7,cameramen,True,0.0001,,0,False,512
386,256,256,100000,512,14,7,cameramen,True,0.0001,,42,False,512
387,256,256,100000,512,14,7,cameramen,True,0.0001,,101,False,512
388,256,256,100000,512,14,7,cameramen,True,0.0001,,123,False,512
389,256,256,100000,512,14,7,cameramen,True,0.0001,,1234,False,512
390,256,256,100000,512,14,8,cameramen,True,0.0001,,0,False,512
391,256,256,100000,512,14,8,cameramen,True,0.0001,,42,False,512
392,256,256,100000,512,14,8,cameramen,True,0.0001,,101,False,512
393,256,256,100000,512,14,8,cameramen,True,0.0001,,123,False,512
394,256,256,100000,512,14,8,cameramen,True,0.0001,,1234,False,512
395,256,256,100000,512,14,9,cameramen,True,0.0001,,0,False,512
396,256,256,100000,512,14,9,cameramen,True,0.0001,,42,False,512
397,256,256,100000,512,14,9,cameramen,True,0.0001,,101,False,512
